question,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
type,7,7,3,3,3,7,3,7,7,3,3,7,7,3,3,3,3,3,3,3,7,3,3,7,7,7,7,7,7,7,7,7,3,3,3,7,3,7,7,3,3,7,7,3,3,3,3,3,3,3,7,3,3,7,7,7,7,7,7,7
label_shown,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
q1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
q2,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded
q3,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded,blinded
q5,2,2,2,2,1,2,2,2,1,2,1,3,2,3,1,3,1,3,2,2,2,3,2,1,3,1,2,1,2,2,2,2,3,2,1,2,2,2,1,2,2,1,1,1,1,3,2,2,1,1,2,2,3,1,2,2,1,2,3,2
q6,3,3,2,2,2,2,2,3,3,2,1,2,3,2,1,3,1,2,2,3,1,2,1,1,3,1,2,1,2,3,1,1,2,2,1,2,3,2,1,3,2,1,1,1,1,3,1,1,1,1,1,2,2,1,1,2,1,1,2,2
q7,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,1,3,2,1,2,2,2,1,3,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,4,1,2,2
q8,-7,-4,6,5,7,1,1,2,-10,-5,-7,2,-10,1,2,5,6,7,-5,6,-10,1,9,3,2,2,3,-10,-3,-10,-6,3,8,10,1,2,6,-8,-10,1,2,4,-6,-1,-2,7,-6,-9,5,2,2,1,3,-10,3,-6,2,-7,8,-4
q9,-10,2,6,10,-10,-9,-1,-10,-10,-5,-5,-10,-9,2,3,3,5,8,-5,-2,-10,-1,2,-2,-8,1,-3,-9,-4,-8,7,9,-3,-9,-5,-8,8,-9,-10,3,3,-1,-9,-1,-3,4,-9,-9,3,-1,3,-10,-3,-10,-5,-8,7,-5,8,-9
q10,1,2,-7,1,3,-3,-5,-9,-1,-1,-4,-10,-10,-1,-10,2,-5,3,-10,-1,-10,-8,9,3,-7,1,-3,-10,8,-8,1,-4,4,2,-1,-1,-5,-8,3,3,1,-2,-2,-1,-5,2,-8,-6,1,-2,-9,-3,-4,-10,-8,-3,-8,-5,2,-9
q11,-5,-10,-3,7,-4,4,-10,-9,-6,-10,7,-10,-10,-2,-3,5,-6,6,-9,-5,-10,-9,-7,-3,-5,-7,-3,-10,8,-9,-3,-1,3,5,-4,-6,-3,-10,7,3,2,3,-5,-1,-1,-4,-10,-3,2,-3,1,2,-9,-7,-1,-6,-7,-8,-6,-2
q12,-10,-9,3,-10,-10,-10,1,-8,-9,-10,-8,1,-9,3,10,5,-3,9,-9,2,-10,-1,9,5,1,-7,1,-10,-2,-8,-8,1,4,10,-5,5,4,-10,6,-5,5,1,-8,-1,4,5,1,-7,-3,-2,2,-1,-10,-10,2,-9,4,-7,5,-3
q13,3,1,2,3,3,2,2,3,1,2,1,3,1,2,2,3,1,1,1,2,1,2,3,2,1,1,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q14,,,Nothing,I have absolutely no idea,Very small details,I can't make any difference,FPS,Lighting,Details are more noticable,Nothing,"Better analysis, color resolution",,Resolution,,No difference,I don't know,Better color contrast in 4K,4K is nicer,"4K better resolution, HD better FPS",Motion,Everything,No,None,Better representation of colors,Small differences between hair movement,The 4K videos were clearer/sharper,Pixels,Higher resolution,HD has better FPS,"Resolution is not causing the differences, something else is changing",Frame rate,Colors and brightness,Color and illuminance,The picture was more focused,"Frame rate, color, uncomfortable levels of brightness","More defined, brighter",Colors and textures,Sharpness,Hard to spot differences,"The color, image quality, and the edge shape clear or not",Nothing,The second videos had better pictures sometimes,"FPS, image quality, colors",Better CGI,All videos were the same,IDK,Not different,Most pairs were the same,"Brightness, quality",Color,Colors and movement,In some cases the overall view looked better without perhaps being less quality in aspects,Frame rate and brightness was noticeable in both videos,Higher resolution in the second videos,Small differences in quality,Clearer focus but lower speed,Didn't differ,Many things,Sharpness of edges,Not much